,num,PET,variation,category,orig_text,clean_text,char_count,word_count,text,label,euph_status
960,961,göğüs,göğüsler,physical/mental attributes,"411130	Gebelik, emzirme, yaşlanma, genetik ve hızlı kilo alıp verme gibi nedenlerle göğüsler yer çekiminin de etkisiyle sarkıp biçimlerini kaybederler.","	gebelik, emzirme, yaşlanma, genetik ve hızlı kilo alıp verme gibi nedenlerle göğüsler yerekiminin de etkisiyle sarkıp biçimlerini kaybederler.",143,18,"411130	Gebelik, emzirme, yaşlanma, genetik ve hızlı kilo alıp verme gibi nedenlerle [PET_BOUNDARY]göğüsler[PET_BOUNDARY] yer çekiminin de etkisiyle sarkıp biçimlerini kaybederler.",1,sometimes_euph
2381,2382,hayata veda etmek,hayatına veda ediyordu,death,"eş değil sırdaş olan, gücünü en zayıf anlarımda destek bulduğum hayat arkadaşım gidiyordu. Otuz iki senelik çileli hayatına veda ediyordu . Gözlerim, son altı aydır hep tuttuğu gözyaşlarıma bu sefer hakim olamadı. Tekrar bana döndü: -Betül beni bekler, O'",eş değil sırdaş olan gücünü en zayıf anlarımda destek bulduğum hayat arkadaşım gidiyordu otuz iki senelik çileli hayatına veda ediyordu  gözlerim son altı aydır hep tuttuğu gözyaşlarıma bu sefer hakim olamadı tekrar bana döndü betül beni bekler o,255,39,"eş değil sırdaş olan, gücünü en zayıf anlarımda destek bulduğum hayat arkadaşım gidiyordu. Otuz iki senelik çileli [PET_BOUNDARY]hayatına veda ediyordu[PET_BOUNDARY]. Gözlerim, son altı aydır hep tuttuğu gözyaşlarıma bu sefer hakim olamadı. Tekrar bana döndü: -Betül beni bekler, O'",0,sometimes_euph
698,699,naaş,naaşı,death,"Hün için Harbiye'deki Muhsin Ertuğrul Sahnesi'nde tören düzenlendi. Cenaze törenine, sanatçının çocukları Atilla ve Filiz, torunları Çağrı, Umut ve Mehmet Çakmak Hün ile sanatçı dostları katıldı. Hün'ün cenazesi daha sonra, Şişli'deki Teşvikiye Camisi'ne getirildi. Burada, öğle namazını müteakip kılınan cenaze namazının ardından, Hün'ün naaşı, sanatçı dostlarının omuzlarında cenaze aracına taşındı. Hün'un cenazesi, Zincirlikuyu Mezarlığı'nda toprağa verildi.","hün için harbiye'deki muhsin ertuğrul sahnesi'nde tören düzenlendi. cenaze törenine, sanatçının çocukları atilla ve filiz, torunları çağrı, umut ve mehmet çakmak hün ile sanatçı dostları katıldı. hün'ün cenazesi daha sonra, şişli'deki teşvikiye camisi'ne getirildi. burada, öğle namazını müteakip kılınan cenaze namazının ardından, hün'ün naaşı, sanatçı dostlarının omuzlarında cenaze aracına taşındı. hün'un cenazesi, zincirlikuyu mezarlığı'nda toprağa verildi.",462,56,"Hün için Harbiye'deki Muhsin Ertuğrul Sahnesi'nde tören düzenlendi. Cenaze törenine, sanatçının çocukları Atilla ve Filiz, torunları Çağrı, Umut ve Mehmet Çakmak Hün ile sanatçı dostları katıldı. Hün'ün cenazesi daha sonra, Şişli'deki Teşvikiye Camisi'ne getirildi. Burada, öğle namazını müteakip kılınan cenaze namazının ardından, Hün'ün [PET_BOUNDARY]naaşı[PET_BOUNDARY], sanatçı dostlarının omuzlarında cenaze aracına taşındı. Hün'un cenazesi, Zincirlikuyu Mezarlığı'nda toprağa verildi.",1,always_euph
747,748,siyahi,siyahi,physical/mental attributes,"AA Edinilen bilgiye göre, Chicago polisi, kentin güneyinde aile içi şiddet ihbarı üzerine gittiği binada mühendislik fakültesi öğrencisi 19 yaşındaki Quintonio LeGrier ve 55 yaşındaki Bettie R. Jones’u silahla vurarak öldürdü. Yapılan açıklamada, gencin tehlike oluşturması üzerine vurulduğu, kadının ölümünün ise ""kazara"" meydana geldiği belirtildi. İki kurbanın da siyahi ve silahsız olduğu ifade edildi. Etiketler: ABD","aa edinilen bilgiye göre, chicago polisi, kentin güneyinde aile içi şiddet ihbarı üzerine gittiği binada mühendislik fakültesi öğrencisi 19 yaşındaki quintonio legrier ve 55 yaşındaki bettie r. jones’u silahla vurarak öldürdü. yapılan açıklamada, gencin tehlike oluşturması üzerine vurulduğu, kadının ölümünün ise ""kazara"" meydana geldiği belirtildi. i̇ki kurbanın da siyahi ve silahsız olduğu ifade edildi. etiketler: abd",422,56,"AA Edinilen bilgiye göre, Chicago polisi, kentin güneyinde aile içi şiddet ihbarı üzerine gittiği binada mühendislik fakültesi öğrencisi 19 yaşındaki Quintonio LeGrier ve 55 yaşındaki Bettie R. Jones’u silahla vurarak öldürdü. Yapılan açıklamada, gencin tehlike oluşturması üzerine vurulduğu, kadının ölümünün ise ""kazara"" meydana geldiği belirtildi. İki kurbanın da [PET_BOUNDARY]siyahi[PET_BOUNDARY] ve silahsız olduğu ifade edildi. Etiketler: ABD",1,sometimes_euph
1415,1416,iyi saatte olsunlar,iyi saatte olsunlar,misc.,"islamator diyorum böyle yazarlara. Kendisi için istedigi gücü, mevkiyi kadinlara çok görmek... Burasi çok sakat iyi saatte olsunlar, ergenekon filan bahane. Yesil soslu ulus devlet projesi bu. Kadinlara ragmen kadinlarin iyiligini(!) istiyor.",islamator diyorum böyle yazarlara kendisi için istedigi gücü mevkiyi kadinlara çok görmek burasi çok sakat iyi saatte olsunlar ergenekon filan bahane yesil soslu ulus devlet projesi bu kadinlara ragmen kadinlarin iyiligini istiyor,242,32,"islamator diyorum böyle yazarlara. Kendisi için istedigi gücü, mevkiyi kadinlara çok görmek... Burasi çok sakat [PET_BOUNDARY]iyi saatte olsunlar[PET_BOUNDARY], ergenekon filan bahane. Yesil soslu ulus devlet projesi bu. Kadinlara ragmen kadinlarin iyiligini(!) istiyor.",0,sometimes_euph
704,705,ortadan kaldırmak,ortadan kaldırılması,death,"Eylül 1919 tarihli mektup, Yahudi insan hakları kuruluşu Simon Wiesenthal Merkezi tarafından elde edildi. Haham Marvin Hier, merkezin mektubu özel bir koleksiyoncuya geçen ay 150 bin dolar ödeyerek satın aldığını söyledi. Hier, mektubun Alman ordusuna ait bir daktiloyla yazıldığını bildirdi. Mektupta, ""Yahudi tehdidine"" karşı güçlü bir hükümet gerektiği ve ""Yahudilerin tamamen ortadan kaldırılması"" görüşü dile getiriliyor.","eylül 1919 tarihli mektup, yahudi insan hakları kuruluşu simon wiesenthal merkezi tarafından elde edildi. haham marvin hier, merkezin mektubu özel bir koleksiyoncuya geçen ay 150 bin dolar ödeyerek satın aldığını söyledi. hier, mektubun alman ordusuna ait bir daktiloyla yazıldığını bildirdi. mektupta, ""yahudi tehdidine"" karşı güçlü bir hükümet gerektiği ve ""yahudilerin tamamen ortadan kaldırılması"" görüşü dile getiriliyor.",426,56,"Eylül 1919 tarihli mektup, Yahudi insan hakları kuruluşu Simon Wiesenthal Merkezi tarafından elde edildi. Haham Marvin Hier, merkezin mektubu özel bir koleksiyoncuya geçen ay 150 bin dolar ödeyerek satın aldığını söyledi. Hier, mektubun Alman ordusuna ait bir daktiloyla yazıldığını bildirdi. Mektupta, ""Yahudi tehdidine"" karşı güçlü bir hükümet gerektiği ve ""Yahudilerin tamamen [PET_BOUNDARY]ortadan kaldırılması[PET_BOUNDARY]"" görüşü dile getiriliyor.",1,sometimes_euph
1289,1290,hamileliği sonlandırmak,hamileliği sonlandırmaya,death,"de kürtaj hizmeti veren Marie Stopes'de koruyucu hemşirelik yapan Amy Bucknall, ""Düşündüğünüzde kadınları hamileliği sonlandırmaya veya hamile kalmaya zorlamak barbarcadır,"" diyor. ""Zorlayıcı kontrol, üreme sağlığını her iki yönde etkileyebilir",de kürtaj hizmeti veren marie stopesde koruyucu hemşirelik yapan amy bucknall düşündüğünüzde kadınları hamileliği sonlandırmaya veya hamile kalmaya zorlamak barbarcadır diyor zorlayıcı kontrol üreme sağlığını her iki yönde etkileyebilir,244,29,"de kürtaj hizmeti veren Marie Stopes'de koruyucu hemşirelik yapan Amy Bucknall, ""Düşündüğünüzde kadınları [PET_BOUNDARY]hamileliği sonlandırmaya[PET_BOUNDARY] veya hamile kalmaya zorlamak barbarcadır,"" diyor. ""Zorlayıcı kontrol, üreme sağlığını her iki yönde etkileyebilir",1,sometimes_euph
1638,1639,fiş çekmek,fişini çektiler,death,"bahseden Hüsnü Can, ""Bir arkadaşın hanımı GATA'da kanser tedavisi görüyordu ve arkadaşımız atıldı diye hanımının fişini çektiler . Tedavi edemeyiz deyip arkadaşın hanımını geri verdiler. Hanımı dışarda sosyal güvenliği olmadığı için tedavi",bahseden hüsnü can bir arkadaşın hanımı gatada kanser tedavisi görüyordu ve arkadaşımız atıldı diye hanımının fişini çektiler  tedavi edemeyiz deyip arkadaşın hanımını geri verdiler hanımı dışarda sosyal güvenliği olmadığı için tedavi,239,32,"bahseden Hüsnü Can, ""Bir arkadaşın hanımı GATA'da kanser tedavisi görüyordu ve arkadaşımız atıldı diye hanımının [PET_BOUNDARY]fişini çektiler[PET_BOUNDARY]. Tedavi edemeyiz deyip arkadaşın hanımını geri verdiler. Hanımı dışarda sosyal güvenliği olmadığı için tedavi",1,sometimes_euph
2004,2005,gaz kaçırmak,gaz kaçırınca,bodily functions,"yaktım ve taşları cezveye koyarak ocakta eritmeye çalıştım. Taşlar bir türlü erimiyordu. Ocak da tam yanmayıp gaz kaçırınca , uzun süre beklediğim odada, gaz kokusundan baygın düşmüşüm. Gaz kokusunu duyan öğretmenim kapıyı kırıp, beni",yaktım ve taşları cezveye koyarak ocakta eritmeye çalıştım taşlar bir türlü erimiyordu ocak da tam yanmayıp gaz kaçırınca  uzun süre beklediğim odada gaz kokusundan baygın düşmüşüm gaz kokusunu duyan öğretmenim kapıyı kırıp beni,234,34,"yaktım ve taşları cezveye koyarak ocakta eritmeye çalıştım. Taşlar bir türlü erimiyordu. Ocak da tam yanmayıp [PET_BOUNDARY]gaz kaçırınca[PET_BOUNDARY], uzun süre beklediğim odada, gaz kokusundan baygın düşmüşüm. Gaz kokusunu duyan öğretmenim kapıyı kırıp, beni",0,sometimes_euph
1701,1702,gaz çıkarmak,gaz çıkartmayı,bodily functions,", bacakları karna doğru itip çekme hareketleri, bacakları büküp hafif karna doğru bastırmak çoğu zaman en azından gaz çıkartmayı sağlar. Çocuklarda ise hareket etmek, bağırsak hareketliliğinin devamı açısından önemli. Ev dışındaki",bacakları karna doğru itip çekme hareketleri bacakları büküp hafif karna doğru bastırmak çoğu zaman en azından gaz çıkartmayı sağlar çocuklarda ise hareket etmek bağırsak hareketliliğinin devamı açısından önemli ev dışındaki,230,31,", bacakları karna doğru itip çekme hareketleri, bacakları büküp hafif karna doğru bastırmak çoğu zaman en azından [PET_BOUNDARY]gaz çıkartmayı[PET_BOUNDARY] sağlar. Çocuklarda ise hareket etmek, bağırsak hareketliliğinin devamı açısından önemli. Ev dışındaki",1,sometimes_euph
